SAA010,ExtractionMine_S,Cultural
SAL020,BuiltUpArea_S,Population
SBA040,TidalWater,OceanEnvironment
CBH010,Aqueduct_C,InlandWater
SBH010,Aqueduct_S,InlandWater
SBH015,Bog_S,Vegetation
CBH020,Canal_C,Transportation
SBH020,Canal_S,Transportation
CBH030,Ditch_C,InlandWater
SBH030,Ditch_S,InlandWater
SBH082,InlandWaterbody_S,InlandWater
SBH135,RiceField_S,InlandWater
CBH140,River_C,InlandWater
SBH140,River_S,InlandWater
SBH150,SaltFlat_S,Physiography
SBH160,Sabkha_S,Physiography
SBJ020,Moraine_S,Physiography
SBJ030,Glacier_S,Physiography
CBJ031,Crevasse_C,Physiography
SBJ031,Crevasse_S,Physiography
CBJ040,IceCliff_C,Physiography
PBJ060,IcePeak_P,Physiography
SBJ065,IceShelf_S,Physiography
SBJ100,SnowIceField_S,Physiography
SBJ110,Tundra_S,Vegetation
SDA005,AsphaltLake_S,Physiography
SDA010,SoilSurfaceRegion_S,Physiography
SDB170,SandDunes_S,Physiography
SEA010,CropLand_S,Agricultural
SEA030,PlantNursery_S,Agricultural
SEA040,Orchard_S,Agricultural
SEA050,Vineyard_S,Agricultural
SEA055,HopField_S,Agricultural
SEB010,Grassland_S,Vegetation
SEB020,Thicket_S,Vegetation
SEB070,Brush,Vegetation
SEC010,Cane,Vegetation
CEC015,Forest_C,Vegetation
SEC015,Forest_S,Vegetation
SED010,Marsh_S,Vegetation
SED020,Swamp_S,Vegetation
